u,v,bank_u,bank_v,opposite_banks,intersects_river_buffer,buffer_m,is_thames_crossing
1000261,1000276,north,north,False,False,75.0,False
1000262,1003005,north,north,False,False,75.0,False
1000262,1003006,north,north,False,False,75.0,False
1000268,1000329,north,north,False,False,75.0,False
1000268,1001571,north,north,False,False,75.0,False
1000268,1002163,north,north,False,False,75.0,False
1000271,1001002,north,north,False,False,75.0,False
1000271,1001161,north,north,False,False,75.0,False
1000271,1001348,north,north,False,False,75.0,False
1000272,1000273,south,south,False,False,75.0,False
1000321,1001038,north,north,False,False,75.0,False
1000321,1001109,north,north,False,False,75.0,False
1001001,1002162,south,south,False,False,75.0,False
1001002,1001254,north,north,False,False,75.0,False
1001003,1001221,north,north,False,False,75.0,False
1001007,1001216,south,south,False,False,75.0,False
1001007,1001225,south,south,False,False,75.0,False
1001023,1001044,north,north,False,False,75.0,False
1001035,1001154,south,south,False,False,75.0,False
1001038,1001039,north,north,False,False,75.0,False
1001039,1001161,north,north,False,False,75.0,False
1001040,1001335,north,north,False,False,75.0,False
1001042,1001092,north,north,False,False,75.0,False
1001042,1001101,north,north,False,False,75.0,False
1001043,1001045,north,north,False,False,75.0,False
1001044,1001183,north,north,False,False,75.0,False
1001045,1001165,north,north,False,False,75.0,False
1001048,1001081,north,north,False,False,75.0,False
1001048,1001568,north,north,False,False,75.0,False
1001055,1001117,north,north,False,False,75.0,False
1001055,1001243,north,north,False,False,75.0,False
1001063,1001150,north,north,False,False,75.0,False
1001068,1001083,south,south,False,False,75.0,False
1001068,1001310,south,south,False,False,75.0,False
1001069,1001310,south,south,False,False,75.0,False
1001069,1001347,south,north,True,True,75.0,True
1001070,1001128,north,north,False,False,75.0,False
1001070,1001268,north,north,False,False,75.0,False
1001077,1001139,north,north,False,False,75.0,False
1001077,1001302,north,north,False,False,75.0,False
1001078,1001289,south,south,False,False,75.0,False
1001079,1002065,north,north,False,False,75.0,False
1001079,1002071,north,north,False,False,75.0,False
1001079,1002162,north,south,True,True,75.0,True
1001079,1002163,north,north,False,False,75.0,False
1001081,1001127,north,north,False,False,75.0,False
1001083,1001223,south,south,False,False,75.0,False
1001092,1001250,north,north,False,False,75.0,False
1001092,1001257,north,north,False,False,75.0,False
1001098,1001243,north,north,False,False,75.0,False
1001109,1001131,north,north,False,False,75.0,False
1001111,1001189,north,north,False,False,75.0,False
1001111,1001190,north,north,False,False,75.0,False
1001112,1001154,south,south,False,False,75.0,False
1001112,1001289,south,south,False,False,75.0,False
1001115,1001137,north,north,False,False,75.0,False
1001115,1001243,north,north,False,False,75.0,False
1001117,1001246,north,north,False,False,75.0,False
1001119,1001131,north,north,False,False,75.0,False
1001119,1001165,north,north,False,False,75.0,False
1001119,1001302,north,north,False,False,75.0,False
1001123,1002027,south,south,False,False,75.0,False
1001123,1002029,south,south,False,False,75.0,False
1001127,1001153,north,north,False,False,75.0,False
1001128,1001183,north,north,False,False,75.0,False
1001128,1001238,north,north,False,False,75.0,False
1001129,1001153,north,north,False,False,75.0,False
1001135,1001255,north,north,False,False,75.0,False
1001135,1001327,north,north,False,False,75.0,False
1001139,1001264,north,north,False,False,75.0,False
1001142,1001146,north,north,False,False,75.0,False
1001144,1001147,north,north,False,False,75.0,False
1001144,1001255,north,north,False,False,75.0,False
1001144,1001325,north,north,False,False,75.0,False
1001147,1016430,north,north,False,False,75.0,False
1001150,1001343,north,north,False,False,75.0,False
1001157,1001189,north,north,False,False,75.0,False
1001157,1001246,north,north,False,False,75.0,False
1001170,1001260,north,north,False,False,75.0,False
1001177,1002035,south,south,False,False,75.0,False
1001178,1001179,north,north,False,False,75.0,False
1001178,1001308,north,north,False,False,75.0,False
1001179,1001312,north,north,False,False,75.0,False
1001180,1002083,north,north,False,False,75.0,False
1001216,1001324,south,south,False,False,75.0,False
1001223,1001233,south,south,False,False,75.0,False
1001225,1001289,south,south,False,False,75.0,False
1001238,1001273,north,north,False,False,75.0,False
1001250,1001335,north,north,False,False,75.0,False
1001257,1001299,north,north,False,False,75.0,False
1001265,1001273,north,north,False,False,75.0,False
1001312,1001341,north,north,False,False,75.0,False
1001568,1001569,north,north,False,False,75.0,False
1001569,1001570,north,north,False,False,75.0,False
1001570,1001571,north,north,False,False,75.0,False
1002000,1002009,north,north,False,False,75.0,False
1002000,1002099,north,north,False,False,75.0,False
1002003,1002034,north,north,False,False,75.0,False
1002003,1002064,north,north,False,False,75.0,False
1002009,1003000,north,south,True,True,75.0,True
1002011,1002039,north,north,False,False,75.0,False
1002012,1002028,north,north,False,False,75.0,False
1002012,1002070,north,north,False,False,75.0,False
1002018,1002033,north,north,False,False,75.0,False
1002018,1002064,north,north,False,False,75.0,False
1002019,1002030,north,north,False,False,75.0,False
1002019,1002066,north,north,False,False,75.0,False
1002025,1002061,south,north,True,False,75.0,False
1002025,1002074,south,south,False,False,75.0,False
1002027,1002048,south,north,True,True,75.0,True
1002028,1002039,north,north,False,False,75.0,False
1002029,1002035,south,south,False,False,75.0,False
1002030,1002034,north,north,False,False,75.0,False
1002046,1002074,south,south,False,False,75.0,False
1002046,1003008,south,north,True,False,75.0,False
1002048,1002061,north,north,False,False,75.0,False
1002064,1002083,north,north,False,False,75.0,False
1002064,1002084,north,north,False,False,75.0,False
1002065,1002070,north,north,False,False,75.0,False
1002083,1002084,north,north,False,False,75.0,False
1002083,1003008,north,north,False,False,75.0,False
1002084,1003008,north,north,False,False,75.0,False
1002098,1002099,north,north,False,False,75.0,False
1002195,1002196,south,south,False,False,75.0,False
1003006,1003007,north,north,False,False,75.0,False
