u,v,line_ids,modes,directions,route_names,distance_m
1000029,1000032,district;hammersmith-city,tube,inbound;outbound,branch_0;branch_1;branch_12,975.127962273313
1000029,1000146,district;hammersmith-city,tube,inbound;outbound,branch_0;branch_1;branch_12,624.2902770553619
1000030,1000087,northern,tube,inbound;outbound,branch_0;branch_16,1435.5962751269437
1000030,1000106,northern,tube,inbound;outbound,branch_0;branch_16,1156.2599184342414
1000031,1000223,victoria,tube,inbound;outbound,branch_0;branch_1,1194.9055330061617
1000032,1000262,district;hammersmith-city,tube,inbound;outbound,branch_0;branch_1;branch_12,1191.7058880217933
1000033,1000140,central,tube,inbound;outbound,branch_10;branch_2,1757.5754316243097
1000033,1000274,central,tube,inbound;outbound,branch_10;branch_2,2352.623889544674
1000034,1000054,northern,tube,inbound;outbound,branch_0;branch_16,1273.6777083533616
1000034,1000070,northern,tube,inbound;outbound,branch_0;branch_16,1435.4244071122348
1000035,1000114,piccadilly,tube,inbound;outbound,branch_0;branch_8,593.5118953069791
1000035,1000129,piccadilly,tube,inbound;outbound,branch_0;branch_8,2013.07058785034
1000036,1000043,northern,tube,inbound;outbound,branch_0;branch_16,913.5299341731311
1000036,1000077,northern,tube,inbound;outbound,branch_15;branch_4,1410.4224385987818
1000036,1000123,northern,tube,inbound;outbound,branch_17;branch_9,1233.9022119258327
1000036,1000152,northern,tube,inbound;outbound,branch_14;branch_3,588.1463661044131
1000037,1000038,jubilee,tube,inbound;outbound,branch_0;branch_1,2271.036644571075
1000037,1000195,windrush,overground,inbound;outbound,branch_7;branch_8,358.5814371405378
1000037,1000229,windrush,overground,inbound;outbound,branch_7;branch_8,552.2475022782883
1000038,1000160,jubilee,tube,inbound;outbound,branch_0;branch_1,1576.4466145544397
1000039,1000160,jubilee,tube,inbound;outbound,branch_0;branch_1,1556.7519802132615
1000039,1000262,jubilee,tube,inbound;outbound,branch_0;branch_1,1570.936174134749
1000039,1002033,dlr,dlr,inbound;outbound,branch_19;branch_8,895.165667144949
1000039,1002071,dlr,dlr,inbound;outbound,branch_1;branch_21,893.0037825137324
1000039,1002098,dlr,dlr,inbound;outbound,branch_0;branch_20,1597.7167802593947
1000039,1003005,dlr,dlr,inbound;outbound,branch_17;branch_7,797.7302482676604
1000040,1000143,circle;district,tube,inbound;outbound,branch_1;branch_12;branch_3,256.17307825193086
1000040,1000148,circle;district,tube,inbound;outbound,branch_1;branch_12;branch_3,307.64124691337435
1000041,1000185,jubilee,tube,inbound;outbound,branch_0;branch_1,1613.0432262529941
1000041,1000219,jubilee,tube,inbound;outbound,branch_0;branch_1,1472.021408990611
1000042,1000046,metropolitan,tube,inbound;outbound,branch_10;branch_5,5417.989481540171
1000042,1000049,metropolitan,tube,inbound;outbound,branch_15;branch_4,3294.5805423312854
1000044,1000112,central,tube,inbound;outbound,branch_13;branch_6,621.0790877696058
1000044,1000225,central,tube,inbound;outbound,branch_13;branch_6,1036.534012436656
1000045,1000075,bakerloo;northern,tube,inbound;outbound,branch_0;branch_1;branch_12;branch_5,281.66144403477125
1000045,1000135,northern,tube,inbound;outbound,branch_12;branch_5,399.42943995483444
1000045,1000179,bakerloo,tube,inbound;outbound,branch_0;branch_1,586.2690517315533
1000047,1000090,central,tube,inbound;outbound,branch_0;branch_9,1282.62508335395
1000047,1000194,central,tube,inbound;outbound,branch_0;branch_9,2174.3816849993327
1000048,1000240,district,tube,inbound;outbound,branch_10;branch_6,923.8867920052929
1000049,1000193,metropolitan,tube,inbound;outbound,branch_15;branch_4,3468.8303212901915
1000050,1000051,northern,tube,inbound;outbound,branch_11;branch_8,695.5236616031403
1000050,1000052,northern,tube,inbound;outbound,branch_11;branch_8,1193.6086115800474
1000051,1000223,northern,tube,inbound;outbound,branch_11;branch_8,934.9850577825778
1000053,1000168,piccadilly,tube,inbound;outbound,branch_0;branch_8,1267.796967313438
1000054,1000106,northern,tube,inbound;outbound,branch_0;branch_16,2112.113720716831
1000055,1000216,northern,tube,inbound;outbound,branch_11;branch_8,1024.3225212384384
1000055,1000234,northern,tube,inbound;outbound,branch_11;branch_8,1258.0429780463994
1000056,1000112,piccadilly,tube,inbound;outbound,branch_0;branch_8,569.2732642405127
1000056,1000135,piccadilly,tube,inbound;outbound,branch_0;branch_8,333.47690489911633
1000057,1000150,metropolitan,tube,inbound;outbound,branch_3;branch_7,2020.8104560432835
1000057,1000255,metropolitan,tube,inbound;outbound,branch_3;branch_7,2046.3814697397281
1000058,1000059,district,tube,inbound;outbound,branch_1;branch_12,1308.5385695069929
1000058,1000074,district,tube,inbound;outbound,branch_1;branch_12,2355.9599166264907
1000060,1000140,central,tube,inbound;outbound,branch_10;branch_2,2007.6799879593257
1000060,1000232,central,tube,inbound;outbound,branch_10;branch_2,3223.6467179281267
1000061,1000153,jubilee,tube,inbound;outbound,branch_0;branch_1,781.0471527527734
1000061,1000270,jubilee,tube,inbound;outbound,branch_0;branch_1,1262.3048855355305
1000062,1000063,district,tube,inbound;outbound,branch_10;branch_6,1066.75253952276
1000062,1000258,central,tube,inbound;outbound,branch_3;branch_7,1466.9444420596221
1000062,1001003,elizabeth,elizabeth-line,inbound;outbound,branch_10;branch_23,2428.701535832694
1000062,1001327,elizabeth,elizabeth-line,inbound;outbound,branch_10;branch_23,1298.5140749724076
1000063,1000158,piccadilly,tube,inbound;outbound,branch_1;branch_5,819.3656067258697
1000064,1000086,district;piccadilly,tube,inbound;outbound,branch_0;branch_1;branch_12;branch_8,796.9856688193556
1000064,1000110,district,tube,inbound;outbound,branch_0;branch_11,1010.6875812324115
1000064,1000170,district,tube,inbound;outbound,branch_2;branch_7,1322.2420259647736
1000064,1000260,district,tube,inbound;outbound,branch_4;branch_9,552.6455943361714
1000064,1000265,district,tube,inbound;outbound,branch_13;branch_3,929.8004433443633
1000065,1000157,central,tube,inbound;outbound,branch_13;branch_6,1157.2524950017348
1000065,1000269,central,tube,inbound;outbound,branch_13;branch_6,1672.5701428142193
1000066,1000189,metropolitan;piccadilly,tube,inbound;outbound,branch_1;branch_2;branch_5;branch_9,1826.9086494696774
1000066,1000199,metropolitan;piccadilly,tube,inbound;outbound,branch_1;branch_2;branch_5;branch_9,1142.5279248404129
1000067,1000081,northern,tube,inbound;outbound,branch_17;branch_9,2460.4650633436904
1000067,1000109,northern,tube,inbound;outbound,branch_17;branch_9,1679.851755065361
1000068,1000245,district;hammersmith-city,tube,inbound;outbound,branch_0;branch_1;branch_12,1178.8060116215524
1000069,1000184,district,tube,inbound;outbound,branch_4;branch_9,1013.4523258147158
1000069,1000209,district,tube,inbound;outbound,branch_4;branch_9,1603.6802113542522
1000071,1000145,bakerloo,tube,inbound;outbound,branch_0;branch_1,533.7364955896979
1000071,1000174,bakerloo,tube,inbound;outbound,branch_0;branch_1,568.3215352852715
1000072,1000174,circle;district,tube,inbound;outbound,branch_0;branch_1;branch_11;branch_3,661.8774042957233
1000072,1000175,circle;hammersmith-city,tube,inbound;outbound,branch_0;branch_1;branch_2,737.4041417119382
1000073,1000121,northern,tube,inbound;outbound,branch_13;branch_6,798.674666374302
1000073,1000132,bakerloo,tube,inbound;outbound,branch_0;branch_1,931.3620462277779
1000074,1000115,district,tube,inbound;outbound,branch_1;branch_12,1493.4727743877918
1000075,1000231,circle;district,tube,inbound;outbound,branch_1;branch_12;branch_3,728.6367562277977
1000075,1000254,bakerloo;northern,tube,inbound;outbound,branch_0;branch_1;branch_12;branch_5,687.2472629400451
1000075,1000266,circle;district,tube,inbound;outbound,branch_1;branch_12;branch_3,668.0568563235909
1000076,1000232,central,tube,inbound;outbound,branch_10;branch_2,2548.119466559917
1000077,1000129,northern;victoria,tube,inbound;outbound,branch_0;branch_1;branch_13;branch_6,667.2806481653877
1000077,1000152,northern,tube,inbound;outbound,branch_14;branch_3,823.4925172798801
1000077,1000252,northern;victoria,tube,inbound;outbound,branch_0;branch_1;branch_12;branch_5,551.0280993721882
1000077,1001260,lioness,overground,inbound;outbound,branch_0;branch_1,3529.893458758966
1000078,1000091,circle;hammersmith-city;metropolitan,tube,inbound;outbound,branch_0;branch_1;branch_14;branch_3,614.6132182974528
1000078,1000129,circle;hammersmith-city;metropolitan,tube,inbound;outbound,branch_0;branch_1;branch_14;branch_3,1012.9493701628326
1000079,1000095,central,tube,inbound;outbound,branch_1;branch_12,912.3831530725394
1000080,1000129,circle;hammersmith-city;metropolitan,tube,inbound;outbound,branch_0;branch_1;branch_14;branch_3,1784.960134060691
1000080,1000138,elizabeth,elizabeth-line,inbound;outbound,branch_2;branch_22,1510.9290866699275
1000080,1000235,elizabeth,elizabeth-line,inbound;outbound,branch_2;branch_22,1851.2019926925839
1000081,1000147,northern,tube,inbound;outbound,branch_19;branch_2,1455.1312733145112
1000081,1000261,northern,tube,inbound;outbound,branch_1;branch_18,973.9587634757618
1000082,1000230,jubilee,tube,inbound;outbound,branch_0;branch_1,497.11794429908446
1000082,1000257,metropolitan,tube,inbound;outbound,branch_0;branch_14,7133.345550288535
1000082,1000263,jubilee,tube,inbound;outbound,branch_0;branch_1,777.8875070582567
1000083,1000108,victoria,tube,inbound;outbound,branch_0;branch_1,2022.9929824695944
1000083,1000142,piccadilly,tube,inbound;outbound,branch_0;branch_8,1039.6056675014124
1000083,1000201,victoria,tube,inbound;outbound,branch_0;branch_1,3056.394957840975
1000084,1000177,district,tube,inbound;outbound,branch_4;branch_9,662.691475262731
1000084,1000260,district,tube,inbound;outbound,branch_4;branch_9,789.9980346773008
1000085,1000154,central,tube,inbound;outbound,branch_1;branch_12,1657.8022171094408
1000085,1000190,central,tube,inbound;outbound,branch_1;branch_12,1447.0606275562611
1000086,1000110,circle,tube,inbound;outbound,branch_1;branch_3,1026.9694517158323
1000086,1000212,circle;district;piccadilly,tube,inbound;outbound,branch_0;branch_1;branch_12;branch_3;branch_8,600.1916913972875
1000087,1000098,northern,tube,inbound;outbound,branch_0;branch_16,2100.5098283226394
1000088,1000097,circle;hammersmith-city,tube,inbound;outbound,branch_0;branch_1;branch_2,966.7721096099148
1000088,1000204,circle;hammersmith-city,tube,inbound;outbound,branch_0;branch_1;branch_2,402.4320611870174
1000089,1000235,northern,tube,inbound;outbound,branch_12;branch_5,575.1343004532753
1000089,1000252,northern,tube,inbound;outbound,branch_12;branch_5,545.6358148136756
1000090,1000095,central,tube,inbound;outbound,branch_0;branch_9,1085.6527368283246
1000092,1000162,central,tube,inbound;outbound,branch_4;branch_8,1691.652174945966
1000092,1000178,central,tube,inbound;outbound,branch_4;branch_8,1688.2674338693316
1000093,1000119,piccadilly,tube,inbound;outbound,branch_0;branch_8,784.6771130935709
1000093,1000173,victoria,tube,inbound;outbound,branch_0;branch_1,935.2363476887816
1000093,1000179,piccadilly,tube,inbound;outbound,branch_0;branch_8,690.1850842959502
1000093,1000248,victoria,tube,inbound;outbound,branch_0;branch_1,1173.4203830606627
1000093,1000266,jubilee,tube,inbound;outbound,branch_0;branch_1,1397.093219937879
1000094,1000125,district;mildmay,overground;tube,inbound;outbound,branch_0;branch_4;branch_5;branch_8,1772.4857971901858
1000094,1000240,district,tube,inbound;outbound,branch_5;branch_8,1484.7755105301187
1000094,1001254,mildmay,overground,inbound;outbound,branch_0;branch_4,952.2202594477583
1000096,1000188,district,tube,inbound;outbound,branch_13;branch_3,879.5855754297381
1000096,1000240,piccadilly,tube,inbound;outbound,branch_0;branch_8,2168.858030089052
1000099,1000157,central,tube,inbound;outbound,branch_4;branch_8,2393.1959910464884
1000099,1000178,central,tube,inbound;outbound,branch_4;branch_8,2267.4001275659543
1000100,1000224,bakerloo;lioness,overground;tube,inbound;outbound,branch_0;branch_1,1519.2751823701203
1000100,1000271,bakerloo;lioness,overground;tube,inbound;outbound,branch_0;branch_1,1019.4616929204245
1000101,1000124,bakerloo;lioness,overground;tube,inbound;outbound,branch_0;branch_1,1706.3092717679049
1000101,1001146,lioness,overground,inbound;outbound,branch_0;branch_1,1929.2679129359688
1000102,1000161,metropolitan,tube,inbound;outbound,branch_1;branch_13,1850.0537485125471
1000102,1000164,metropolitan,tube,inbound;outbound,branch_0;branch_11,1326.5980050950284
1000102,1000264,metropolitan,tube,inbound;outbound,branch_2;branch_9,1116.2191746836857
1000103,1000104,piccadilly,tube,inbound,branch_3,1817.56065005426
1000103,1000105,piccadilly,tube,inbound;outbound,branch_4;branch_9,2091.3263938856308
1000103,1000118,piccadilly,tube,inbound;outbound,branch_2;branch_9,2657.768441713837
1000104,1000105,piccadilly,tube,outbound,branch_6,1477.7482822248235
1000104,1001147,elizabeth,elizabeth-line,inbound;outbound,branch_0;branch_20,1637.0897929571918
1000105,1016430,piccadilly,tube,inbound;outbound,branch_4;branch_7,2649.9329265456404
1000107,1000237,northern,tube,inbound;outbound,branch_1;branch_18,2453.892527351956
1000108,1000129,victoria,tube,inbound;outbound,branch_0;branch_1,2222.0519806118973
1000108,1001043,mildmay,overground,inbound;outbound,branch_2;branch_3,967.0484652903629
1000108,1001048,mildmay;windrush,overground,inbound;outbound,branch_2;branch_3;branch_7;branch_8,837.9677427954205
1000110,1000167,circle;district,tube,inbound;outbound,branch_0;branch_1;branch_11;branch_3,932.8527022345088
1000111,1000120,metropolitan;piccadilly,tube,inbound;outbound,branch_1;branch_2;branch_5;branch_9,1034.9593631574373
1000111,1000246,metropolitan;piccadilly,tube,inbound;outbound,branch_1;branch_2;branch_5;branch_9,2134.3112011879443
1000112,1000200,piccadilly,tube,inbound;outbound,branch_0;branch_8,672.3360702347314
1000112,1000235,central,tube,inbound;outbound,branch_13;branch_6,705.9724508613333
1000113,1000167,central,tube,inbound;outbound,branch_13;branch_6,687.7373513748745
1000113,1000203,central,tube,inbound;outbound,branch_13;branch_6,937.1775248258373
1000115,1000243,district,tube,inbound;outbound,branch_1;branch_12,1262.2979297641116
1000116,1000117,piccadilly,tube,inbound;outbound,branch_2;branch_9,735.8275249221896
1000116,1000118,piccadilly,tube,inbound;outbound,branch_2;branch_9,1391.6476081455019
1000117,1000171,piccadilly,tube,inbound;outbound,branch_2;branch_9,942.1482587123957
1000119,1000130,piccadilly,tube,inbound;outbound,branch_0;branch_8,608.3775763136747
1000120,1000197,metropolitan;piccadilly,tube,inbound;outbound,branch_1;branch_2;branch_5;branch_9,1768.1513235910704
1000121,1000172,northern,tube,inbound;outbound,branch_11;branch_8,846.6728068871663
1000121,1000254,northern,tube,inbound;outbound,branch_12;branch_5,1776.1198061383438
